name,ring,quadrant,isNew,description
TypeScript 4.7.2,green,Development tools,FALSE,<b>The latest available version: </b>4.8.4
McAfee Endpoint Security Platform 10.7.0,green,Security and Platform,FALSE,<b>Technology domain: </b>Endpoint protection systems</br><b>The latest available version: </b>10.7.0
Symantec Data Loss Prevention 15.7 ,green,Security and Platform,FALSE,<b>Technology domain: </b>DLP systems</br><b>The latest available version: </b>15.8
Symantec Data Loss Prevention 15.8,green,Security and Platform,FALSE,<b>Technology domain: </b>DLP systems</br><b>The latest available version: </b>15.8
CheckPoint NGTP 81,green,Security and Platform,FALSE,<b>Technology domain: </b>Intrusion detection systems</br><b>The latest available version: </b>81
DarkTrace Enterprise immune system 52088,green,Security and Platform,FALSE,<b>Technology domain: </b>Intrusion detection systems</br><b>The latest available version: </b>
Symantec Mail Security for MS Exchange 7.9,green,Security and Platform,FALSE,<b>Technology domain: </b>Anti-spam and e-mail security</br><b>The latest available version: </b>7.10
CheckPoint SandBlast 81.10,green,Security and Platform,FALSE,<b>Technology domain: </b>Anti-spam and e-mail security</br><b>The latest available version: </b> 81.10
Qualys 10.20.4,green,Security and Platform,FALSE,<b>Technology domain: </b>Vulnerability assessment </br><b>The latest available version: </b>10.20.4
"ArcSight SmartConnector 5.0.6.0, 8.3",green,Security and Platform,FALSE,<b>Technology domain: </b>Security info and event management system</br><b>The latest available version: </b>8.4
"Thycotic Secret Server 11.0, 11.1",green,Security and Platform,FALSE,<b>Technology domain: </b>Identity and Access Management Systems</br><b>The latest available version: </b>11.3
Wallix Bastion 9 ,green,Security and Platform,FALSE,<b>Technology domain: </b>Identity and Access Management Systems</br><b>The latest available version: </b>9
Microsoft Advanced Threat Analytics ,green,Security and Platform,FALSE,<b>Technology domain: </b>Advanced Threat Protection Systems</br><b>The latest available version: </b>1.9
Symantec ProxySG 7.3                ,green,Security and Platform,FALSE,<b>Technology domain: </b>Content Filtering</br><b>The latest available version: </b>7.3
Symantec CAS 3.1.5.1             ,green,Security and Platform,FALSE,<b>Technology domain: </b>IAP</br><b>The latest available version: </b>3.1.5.1
Vynamic View   ,green,Security and Platform,FALSE,<b>Technology domain: </b>ATM Security</br><b>The latest available version: </b>
Kleopatra 4.0.2,green,Security and Platform,FALSE,<b>Technology domain: </b>File Encription</br><b>The latest available version: </b>4.0.4
